City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ust'-kulom,61.6864,53.6902,14.01,77,8,1.14,RU,1691718060
kapa'a,22.0752,-159.319,31.18,69,20,6.17,US,1691718060
biltine,14.5333,20.9167,26.08,72,43,2.47,TD,1691718060
buka,40.8108,69.1986,25.57,29,0,2.06,UZ,1691718061
papatowai,-46.5619,169.4708,7.84,74,99,1.62,NZ,1691717958
diego de almagro,-26.3667,-70.05,15.7,33,37,0.22,CL,1691718061
horta,38.5333,-28.6333,20.57,88,1,3.58,PT,1691718061
dunedin,-45.8742,170.5036,8.93,54,99,0.49,NZ,1691718062
happy valley-goose bay,53.3168,-60.3315,15.17,67,75,3.6,CA,1691718062
rio de janeiro,-22.9028,-43.2075,24.98,75,40,3.6,BR,1691717899
flying fish cove,-10.4217,105.6791,24.82,83,40,6.17,CX,1691717968
stanley,54.868,-1.6985,18.83,87,0,1.54,GB,1691718024
klyuchi,52.2667,79.1667,15.9,84,100,6.15,RU,1691717997
seria,4.6167,114.3167,28.12,67,87,2.75,BN,1691718063
yellowknife,62.456,-114.3525,21.29,43,100,1.54,CA,1691717748
olonkinbyen,70.9221,-8.7187,6.36,99,98,2.97,SJ,1691717967
praia,14.9215,-23.5087,26.3,73,20,3.09,CV,1691718064
castillos,-34.1667,-53.8333,15.78,95,100,2.31,UY,1691718064
blackmans bay,-43.0167,147.3167,11.52,72,100,2.82,AU,1691717978
urdinarrain,-32.6857,-58.8932,17.23,83,100,2.07,AR,1691718064
canton,23.1167,113.25,28.82,61,76,1.1,CN,1691717898
vorkuta,67.5,64.0,6.4,86,83,4.74,RU,1691718065
waldbrunn,50.5167,8.1167,15.52,88,4,0.9,DE,1691718065
lihue,21.9789,-159.3672,30.77,61,20,6.17,US,1691718034
las heras,-46.5419,-68.9359,4.79,86,100,9.46,AR,1691718065
avarua,-21.2078,-159.775,24.03,88,75,5.66,CK,1691717965
huarmey,-10.0681,-78.1522,19.47,82,15,4.52,PE,1691718066
ribeira grande,38.5167,-28.7,20.99,88,0,3.58,PT,1691717960
kruisfontein,-34.0033,24.7314,18.82,33,0,5.86,ZA,1691718066
tolanaro,-25.0319,46.9987,18.04,72,75,2.06,MG,1691718067
sovetskaya gavan',48.9723,140.2878,15.4,96,100,1.0,RU,1691717973
port alfred,-33.5906,26.891,19.14,48,0,4.33,ZA,1691718002
puerto natales,-51.7236,-72.4875,-0.71,94,22,1.63,CL,1691717957
ayios konstandinos,38.6333,21.4,20.12,72,0,1.73,GR,1691718068
bilibino,68.0546,166.4372,13.78,66,99,1.64,RU,1691717984
college,64.8569,-147.8028,21.15,71,75,1.54,US,1691717974
arar,30.9753,41.0381,31.01,13,0,2.06,SA,1691718068
midvagur,62.0511,-7.1939,12.46,94,40,6.17,FO,1691718069
inari,68.906,27.0288,12.11,94,8,2.61,FI,1691718069
greytown,-29.0642,30.5928,8.09,87,0,1.01,ZA,1691718069
hadibu,12.65,54.0333,25.43,81,100,7.71,YE,1691718070
mount isa,-20.7333,139.5,24.87,25,4,5.66,AU,1691717975
nagar karnul,16.4821,78.3247,25.35,78,99,4.15,IN,1691718070
west samoset,27.4695,-82.5568,32.16,76,20,2.75,US,1691718070
invercargill,-46.4,168.35,8.34,75,91,1.34,NZ,1691717970
karagandy,49.8019,73.1021,13.97,82,100,5.61,KZ,1691718071
russellville,35.2784,-93.1338,29.08,54,0,1.54,US,1691718071
mutare,-18.9707,32.6709,12.08,88,95,1.55,ZW,1691718072
ust-tsilma,65.441,52.1498,13.9,75,5,0.76,RU,1691718072
wailua homesteads,22.0669,-159.378,30.44,70,20,6.17,US,1691717966
gwadar,25.1216,62.3254,26.78,82,87,3.14,PK,1691718072
puerto ayora,-0.7393,-90.3518,24.75,93,36,2.24,EC,1691717670
coquimbo,-29.9533,-71.3436,13.85,88,0,3.09,CL,1691717922
keflavik,64.0049,-22.5624,13.95,88,0,5.14,IS,1691717961
polyarnyy,69.1989,33.4478,15.16,88,1,3.72,RU,1691717969
fortaleza,-3.7227,-38.5247,27.07,74,75,4.63,BR,1691717859
port said,31.2565,32.2841,25.99,78,0,1.54,EG,1691718074
liberal,37.0431,-100.921,32.08,37,0,4.12,US,1691718074
enewetak,11.3474,162.3373,28.58,76,27,5.71,MH,1691717993
tarfaya,27.9358,-12.9218,21.87,88,6,7.9,MA,1691718075
rawson,-43.3002,-65.1023,13.38,42,14,10.28,AR,1691718075
blackwater,-23.5833,148.8833,23.16,76,0,0.96,AU,1691718075
mugia,43.1041,-9.2179,19.95,93,24,3.59,ES,1691718075
yuzhno-kurilsk,44.0306,145.8556,22.45,86,100,4.88,RU,1691718076
al muwayh,22.4333,41.7583,27.3,21,40,2.68,SA,1691718076
tual,-5.6667,132.75,25.64,81,35,8.72,ID,1691718076
isafjordur,66.0755,-23.124,6.54,91,65,4.6,IS,1691718077
al kharijah,25.4514,30.5464,28.92,27,0,5.07,EG,1691718033
portland,45.5234,-122.6762,27.19,49,20,4.63,US,1691717461
saipan,15.1355,145.701,27.39,100,100,5.36,MP,1691718022
saint-pierre,-21.3393,55.4781,19.82,64,0,3.6,RE,1691718077
dakhla,23.6848,-15.958,22.22,79,57,6.29,EH,1691718078
tsiombe,-25.3,45.4833,18.22,50,80,4.69,MG,1691717967
tiksi,71.6872,128.8694,20.0,37,8,5.34,RU,1691717966
talnakh,69.4865,88.3972,8.45,65,100,8.07,RU,1691717795
port saint john's,-31.6229,29.5448,16.25,84,0,3.36,ZA,1691718021
riberalta,-10.9833,-66.1,28.38,46,84,1.52,BO,1691717999
poteau,35.0537,-94.6236,30.86,89,0,0.0,US,1691718079
shingu,33.7333,135.9833,28.94,75,21,4.32,JP,1691718079
holualoa,19.6228,-155.9522,25.91,79,75,4.63,US,1691717793
hithadhoo,-0.6,73.0833,27.84,75,100,4.76,MV,1691718037
newman,37.3138,-121.0208,32.99,50,94,0.89,US,1691718080
carnarvon,-24.8667,113.6333,20.88,67,5,2.09,AU,1691718080
iqaluit,63.7506,-68.5145,5.85,93,75,3.6,CA,1691717974
hola,51.5377,23.1902,12.1,77,16,0.97,PL,1691718081
gilgit,35.9221,74.3087,27.97,50,15,0.9,PK,1691718081
harrisonburg,38.4496,-78.8689,21.76,80,0,0.0,US,1691717831
hawaiian paradise park,19.5933,-154.9731,28.18,77,0,4.63,US,1691717984
ust-nera,64.5667,143.2,23.65,35,59,0.56,RU,1691717981
haiku-pauwela,20.9219,-156.3051,29.01,66,20,8.23,US,1691718082
mejit,10.2753,170.8646,28.05,78,42,5.83,MH,1691718082
ceeldheer,3.8488,47.1806,23.69,85,49,7.85,SO,1691718083
copiapo,-27.3667,-70.3333,11.83,50,10,1.14,CL,1691718083
hermanus,-34.4187,19.2345,15.18,57,0,1.26,ZA,1691717974
shinas,24.7433,56.4658,32.02,84,95,1.65,OM,1691718084
qaqortoq,60.7167,-46.0333,6.81,77,100,0.54,GL,1691717979
kone,-21.0595,164.8658,23.74,37,0,4.4,NC,1691718084
zeya,53.75,127.2667,25.95,42,71,2.18,RU,1691718036
adiake,5.2863,-3.304,23.36,89,93,2.37,CI,1691718084
jamestown,42.097,-79.2353,19.77,88,0,5.66,US,1691717913
thompson,55.7435,-97.8558,17.09,55,100,1.03,CA,1691717983
sandnessjoen,66.0217,12.6316,10.29,88,62,3.96,NO,1691718085
tura,25.5198,90.2201,24.64,97,100,2.51,IN,1691718085
labrador city,52.9463,-66.9114,14.95,77,100,1.54,CA,1691718086
nova vicosa,-17.8919,-39.3719,22.14,81,52,2.83,BR,1691718086
akureyri,65.6835,-18.0878,6.96,87,100,1.54,IS,1691718079
champerico,14.3,-91.9167,28.73,79,100,3.03,GT,1691718086
anadyr,64.75,177.4833,11.28,76,100,1.0,RU,1691717999
tikrit,34.6071,43.6782,35.41,20,1,6.87,IQ,1691718087
sao martinho,39.5144,-9.1311,20.07,82,3,2.68,PT,1691718087
sao joao da barra,-21.6403,-41.0511,22.4,86,0,8.21,BR,1691718026
new norfolk,-42.7826,147.0587,12.18,73,100,2.8,AU,1691718033
prince rupert,54.3161,-130.3201,15.05,92,100,5.66,CA,1691718023
kirtland,36.7342,-108.3598,29.61,28,0,5.14,US,1691718088
chibougamau,49.9168,-74.3659,16.79,77,75,2.06,CA,1691717993
vadso,70.0744,29.7487,17.09,77,20,6.69,NO,1691718088
alzamay,55.5562,98.6644,21.65,54,4,2.93,RU,1691718089
smithers,54.7804,-127.1743,20.18,49,75,1.03,CA,1691718089
san luis de la loma,17.2706,-100.8939,27.67,83,30,2.04,MX,1691718089
vientiane,17.9667,102.6,28.11,75,100,2.74,LA,1691718019
nioki,-2.7167,17.6833,23.58,73,100,1.35,CD,1691718090
la'ie,21.6477,-157.9253,30.98,66,14,6.54,US,1691718090
fortuna,40.5982,-124.1573,21.63,75,0,5.66,US,1691718090
ketou,7.3633,2.5998,21.83,97,91,1.52,BJ,1691718091
kerikeri,-35.2268,173.9474,13.93,43,6,2.77,NZ,1691718091
atafu village,-8.5421,-172.5159,28.13,75,72,4.61,TK,1691718027
murashi,59.3999,48.9615,16.32,87,5,1.28,RU,1691718091
tadine,-21.55,167.8833,20.09,52,0,7.85,NC,1691718092
iskateley,67.6803,53.1512,13.12,72,6,1.05,RU,1691717962
punta arenas,-53.15,-70.9167,1.62,81,12,4.93,CL,1691717970
margaret river,-33.95,115.0667,14.43,67,22,2.35,AU,1691717971
ambon,-3.6954,128.1814,27.08,78,40,3.09,ID,1691718093
viedma,-40.8135,-62.9967,13.94,39,100,7.88,AR,1691718093
malango,-2.9627,119.9001,23.78,78,100,1.04,ID,1691718093
nova sintra,14.8667,-24.7167,22.51,75,28,4.52,CV,1691718094
acarau,-2.8856,-40.12,25.37,86,12,6.54,BR,1691718019
oum hadjer,13.2954,19.6966,25.57,77,88,2.48,TD,1691718094
chonchi,-42.6128,-73.8092,4.56,93,32,1.99,CL,1691718025
yanchep,-31.55,115.6833,12.56,84,99,3.07,AU,1691718095
callao,-12.0667,-77.15,21.16,73,100,4.63,PE,1691717991
bredasdorp,-34.5322,20.0403,12.23,73,0,1.07,ZA,1691717987
klaksvik,62.2266,-6.589,12.51,98,99,6.85,FO,1691718095
sweetwater,25.7634,-80.3731,28.01,87,100,2.57,US,1691718096
sinabang,2.4803,96.3801,27.24,78,91,0.71,ID,1691718097
sarina,-21.4333,149.2167,24.23,59,0,3.82,AU,1691718030
tazovsky,67.4667,78.7,6.16,55,0,10.21,RU,1691717994
scinawa,51.4163,16.4251,17.41,71,27,2.19,PL,1691718098
metlili chaamba,32.2667,3.6333,28.52,20,0,0.0,DZ,1691718098
port elizabeth,-33.918,25.5701,20.05,67,0,2.06,ZA,1691717976
menongue,-14.6585,17.691,11.63,48,6,2.09,AO,1691718098
villanueva,15.3167,-88.0,28.55,79,20,5.14,HN,1691718099
jobat,22.4167,74.5667,24.08,86,29,4.18,IN,1691718099
al bawiti,28.3492,28.8659,23.94,57,0,3.52,EG,1691718100
murghob,38.1702,73.9667,13.09,40,26,1.14,TJ,1691718100
teknaf,20.8624,92.3058,25.46,90,100,3.11,BD,1691718100
egilsstadir,65.2653,-14.3948,6.95,93,75,3.09,IS,1691718100
whitehorse,60.7161,-135.0538,20.05,77,75,1.03,CA,1691717990
zouerate,22.7187,-12.4521,34.5,20,26,1.95,MR,1691718101
ust'-ilimsk,58.0006,102.6619,21.49,53,95,1.86,RU,1691718101
cidreira,-30.1811,-50.2056,17.63,96,95,6.83,BR,1691718101
queenstown,-31.8976,26.8753,10.01,49,0,2.99,ZA,1691718026
mozarlandia,-14.7447,-50.5706,27.77,33,70,2.32,BR,1691718102
nhamunda,-2.1861,-56.7131,27.13,60,60,0.76,BR,1691718102
maputo,-25.9653,32.5892,16.82,82,75,0.0,MZ,1691718102
villa gesell,-37.2639,-56.973,12.81,93,100,4.5,AR,1691718102
sisimiut,66.9395,-53.6735,7.95,88,100,4.61,GL,1691718103
vielha,42.6846,0.7726,14.48,62,10,0.63,ES,1691718103
kainantu,-6.2887,145.8655,20.03,71,88,2.17,PG,1691718103
lorengau,-2.0226,147.2712,28.49,72,98,7.39,PG,1691717981
goz beida,13.95,20.55,25.14,78,67,1.3,TD,1691718104
mossel bay,-34.1831,22.146,17.32,52,0,3.05,ZA,1691718104
houma,29.5958,-90.7195,31.0,77,0,2.06,US,1691718104
rudbar,30.15,62.6,28.84,25,0,5.48,AF,1691718104
chulakkurgan,43.765,69.1814,22.92,48,0,3.37,KZ,1691718105
malpur,23.35,73.45,24.79,84,6,3.82,IN,1691718105
bodo,67.28,14.405,15.53,70,0,6.69,NO,1691718105
cabo san lucas,22.8909,-109.9124,32.56,72,40,2.57,MX,1691718105
nuuk,64.1835,-51.7216,8.34,87,75,6.69,GL,1691718092
kununurra,-15.7667,128.7333,27.99,32,80,4.12,AU,1691717992
aasiaat,68.7098,-52.8699,3.68,88,100,0.77,GL,1691717971
saint-francois,46.4154,3.9054,16.69,88,0,1.54,FR,1691718106
punta del este,-34.9667,-54.95,16.09,88,100,4.12,UY,1691718106
kindu,-2.95,25.95,21.17,87,95,0.71,CD,1691718107
bereeda,11.8704,51.0579,29.37,55,58,7.26,SO,1691718107
axim,4.8699,-2.2405,23.61,88,36,2.35,GH,1691718107
maragogi,-9.0122,-35.2225,23.43,85,65,3.88,BR,1691718107
magadan,59.5667,150.8,21.41,66,0,1.56,RU,1691718108
adre,13.4667,22.2,22.76,82,50,1.65,TD,1691718108
nyurba,63.2842,118.3319,23.57,52,97,5.0,RU,1691718108
port lincoln,-34.7333,135.8667,13.31,62,99,2.28,AU,1691718108
nizhneudinsk,54.9076,99.0276,20.91,59,4,2.49,RU,1691718108
colonia,50.9333,6.95,17.14,81,0,2.06,DE,1691717854
lagodekhi,41.8268,46.2767,24.5,57,0,1.01,GE,1691718109
mpulungu,-8.7623,31.1141,19.48,58,0,3.06,ZM,1691718109
jumla,29.2747,82.1838,19.64,80,100,0.59,NP,1691718109
nar'yan-mar,67.6713,53.087,13.15,72,6,1.09,RU,1691718028
altai,46.3722,96.2583,18.27,43,0,1.83,MN,1691718110
bam,29.106,58.357,27.49,19,0,4.34,IR,1691718110
kingston,17.997,-76.7936,26.25,96,58,0.45,JM,1691717884
northam,51.0333,-4.2167,18.55,97,72,6.37,GB,1691718110
nema,57.5067,50.5011,16.47,83,4,1.94,RU,1691718032
bamboo flat,11.7,92.7167,29.05,84,40,3.09,IN,1691718111
box elder,41.5005,-112.8764,26.52,38,5,3.91,US,1691718111
seminole,28.7086,-81.2081,31.87,82,20,3.09,US,1691718099
kaa-khem,51.6833,94.7333,20.86,52,20,2.12,RU,1691718111
zakamensk,50.3741,103.2863,19.69,54,34,0.62,RU,1691718112
nyala,12.05,24.8833,25.12,70,99,3.21,SD,1691718112
puerto aysen,-45.4,-72.7,2.36,96,87,2.5,CL,1691718112
canutama,-6.5339,-64.3831,27.31,59,50,1.05,BR,1691718112
nelson bay,-32.7167,152.15,17.83,55,0,1.79,AU,1691718112
afaahiti,-17.75,-149.2833,25.93,69,100,8.24,PF,1691718113
longyearbyen,78.2186,15.6401,8.91,87,100,1.54,SJ,1691717981
dudinka,69.4058,86.1778,8.68,41,91,12.5,RU,1691718113
minas de marcona,-15.2119,-75.1103,12.36,89,88,6.41,PE,1691718113
alice springs,-23.7,133.8833,21.75,23,0,3.09,AU,1691717987
le port,-20.9373,55.2919,20.0,86,1,1.52,RE,1691718114
fort st. john,56.2499,-120.8529,16.94,77,75,3.6,CA,1691717969
masterton,-40.9597,175.6575,11.05,66,28,4.21,NZ,1691718114
luis correia,-2.8792,-41.6669,25.28,84,16,5.06,BR,1691718115
jiagedaqi,50.4167,124.1167,23.2,65,100,2.25,CN,1691718115
kijang,35.2442,129.2139,28.85,78,20,5.65,KR,1691718115
kodiak,57.79,-152.4072,13.73,88,100,2.06,US,1691717972
kaharlyk,49.8623,30.8282,14.76,81,43,3.42,UA,1691718115
poronaysk,49.2167,143.1167,12.68,96,100,1.97,RU,1691718116
sitka,57.0531,-135.33,15.94,82,100,3.6,US,1691717973
udachny,66.4167,112.4,20.28,62,99,4.46,RU,1691717961
zarinsk,53.7074,84.9493,16.17,95,100,2.62,RU,1691718116
krasnyy chikoy,50.3643,108.7512,19.93,67,8,1.94,RU,1691718116
gobabis,-22.45,18.9667,11.38,41,13,4.64,NA,1691717962
usinsk,65.9939,57.5281,12.52,74,57,3.69,RU,1691718117
chirilagua,13.2203,-88.1386,29.83,86,59,1.66,SV,1691718117
vorgashor,67.5833,63.95,6.24,85,89,4.74,RU,1691717966
luorong,24.4058,109.6086,30.53,73,5,0.77,CN,1691718118
puerto baquerizo moreno,-0.9,-89.6,23.85,83,64,6.23,EC,1691718118
bontang,0.1333,117.5,27.92,73,100,4.41,ID,1691718118
raduzhnyy,62.0961,77.475,11.2,87,100,6.62,RU,1691718118
utrik,11.2278,169.8474,28.18,76,6,5.84,MH,1691718118
sittwe,20.15,92.9,25.7,89,100,2.93,MM,1691718119
ziniare,12.5822,-1.2983,25.02,94,94,3.17,BF,1691718120
aluksne,57.4167,27.05,11.76,93,91,1.3,LV,1691718120
daru,-9.0763,143.2092,25.68,69,95,7.67,PG,1691718121
ardakan,32.31,54.0175,25.97,20,0,2.69,IR,1691718121
namsos,64.4662,11.4957,11.95,87,100,1.03,NO,1691718121
pandan,14.0453,124.1694,31.81,62,85,2.03,PH,1691718122
hami,42.8,93.45,32.37,16,0,2.99,CN,1691718122
okha,53.5739,142.9478,15.89,76,8,6.09,RU,1691718123
mentor-on-the-lake,41.705,-81.3604,22.13,88,40,3.09,US,1691718123
nchelenge,-9.3451,28.734,16.41,49,0,2.69,ZM,1691718124
verkhneural'sk,53.8769,59.2106,12.32,91,3,2.57,RU,1691718124
verkhnevilyuysk,63.4453,120.3167,23.05,52,96,4.68,RU,1691718124
atar,20.5169,-13.0499,36.28,21,55,6.88,MR,1691718124
pingnan,23.5543,110.3976,29.85,76,36,1.36,CN,1691718125
huntington,38.4193,-82.4452,22.96,94,5,0.45,US,1691718125
ashkasham,36.6833,71.5333,12.22,51,0,0.7,AF,1691718125
linxia chengguanzhen,35.6003,103.2064,17.79,89,100,2.06,CN,1691718125
terrace,54.5163,-128.6035,17.95,72,75,8.23,CA,1691718126
berdigestyakh,62.0989,126.6992,23.68,48,0,4.05,RU,1691718126
sinjai,-5.1241,120.253,27.64,71,94,4.33,ID,1691718126
rikaze,29.25,88.8833,16.93,50,100,0.92,CN,1691718126
muravlenko,63.7898,74.523,9.28,71,8,10.48,RU,1691718127
yanbu,24.0891,38.0637,29.02,70,0,4.63,SA,1691718127
tibu,8.639,-72.7358,25.26,86,100,0.59,CO,1691718127
calangute,15.5439,73.7553,25.66,84,96,1.9,IN,1691718128
palikir - national government center,6.9248,158.1611,31.41,74,75,3.6,FM,1691718128
boa vista,2.8197,-60.6733,28.99,65,0,3.6,BR,1691717998
i-n-salah,27.1935,2.4607,33.06,15,0,4.22,DZ,1691718128
sahy,48.0741,18.9495,12.0,80,32,1.25,SK,1691718129
gizo,-8.103,156.8419,25.31,88,100,8.59,SB,1691718129
ixtapa,20.7,-105.2,30.57,79,75,3.09,MX,1691718129
undurkhaan,47.3194,110.6556,21.26,65,47,4.6,MN,1691718129
luwuk,-0.9516,122.7875,27.31,74,100,3.17,ID,1691718130
camden,39.7835,-74.9663,23.16,96,65,3.38,US,1691718026
hun,29.1268,15.9477,24.0,67,0,2.55,LY,1691718130
thanatpin,17.2119,96.3033,25.1,84,100,2.75,MM,1691718130
saint-joseph,-21.3667,55.6167,19.21,77,0,1.59,RE,1691718131
alta sierra,35.7291,-118.5495,18.77,45,61,3.91,US,1691718131
glasgow,55.8652,-4.2576,18.97,83,75,1.54,GB,1691718124
georgetown,5.4112,100.3354,28.96,81,20,1.54,MY,1691717738
howrah,22.5892,88.3103,27.0,89,75,1.54,IN,1691717963
hamilton,39.1834,-84.5333,23.57,80,20,2.57,US,1691717842
panguipulli,-39.6333,-72.3333,3.78,99,91,1.12,CL,1691718132
requena,39.4883,-1.1004,22.51,82,10,1.29,ES,1691718132
laojunmiao,39.8333,97.7333,24.29,30,23,0.39,CN,1691717984
hurghada,27.2574,33.8129,29.02,48,0,7.2,EG,1691717893
cockburn town,21.4612,-71.1419,28.88,86,100,9.63,TC,1691718133
turpan,42.9333,89.1667,37.15,17,0,2.97,CN,1691718133
shimanovsk,52.0,127.7,26.21,44,3,3.41,RU,1691718133
el bauga,18.262,33.9081,28.75,59,96,11.94,SD,1691718134
posse,-14.0931,-46.3694,20.64,45,2,3.68,BR,1691718126
mili,6.0815,171.735,28.54,72,23,5.18,MH,1691718134
kapuskasing,49.4169,-82.4331,16.05,88,75,3.6,CA,1691717841
fort bragg,35.139,-79.006,28.08,81,0,1.54,US,1691718004
puerto lempira,15.2667,-83.7667,26.98,87,5,3.22,HN,1691718135
antsiranana,-12.2787,49.2917,21.2,84,2,4.62,MG,1691718135
wotho,10.1657,166.0102,28.37,75,47,5.39,MH,1691718136
douglas,41.3,-96.167,28.11,80,0,4.63,US,1691717850
tremp,42.167,0.8949,22.59,63,40,2.08,ES,1691718136
kisanga,-7.4362,37.7034,19.56,74,5,0.6,TZ,1691718136
mount pearl,47.5166,-52.7813,17.4,94,75,3.09,CA,1691718136
hammerfest,70.6634,23.6821,17.25,67,20,4.12,NO,1691717978
barra de santo antonio,-9.4047,-35.5072,22.6,86,48,3.73,BR,1691718137
hilo,19.7297,-155.09,32.93,78,0,4.63,US,1691718137
valparaiso,-33.0393,-71.6273,14.44,66,20,1.54,CL,1691718137
qulsary,46.9531,54.0198,25.94,30,0,3.93,KZ,1691718138
semnan,35.5729,53.3971,24.65,29,0,2.58,IR,1691718138
puerto armuelles,8.2833,-82.8667,27.27,91,100,1.34,PA,1691717984
kyshtovka,56.555,76.6271,11.66,96,100,3.65,RU,1691718138
zhirnovsk,50.9845,44.7735,21.48,45,85,3.55,RU,1691718138
lincoln city,44.9582,-124.0179,21.52,66,0,7.15,US,1691718013
campechuela,20.2342,-77.2789,27.88,80,85,3.68,CU,1691718139
walvis bay,-22.9575,14.5053,13.53,94,63,2.57,NA,1691718139
nainwa,25.7667,75.85,27.45,70,33,3.89,IN,1691718140
remire-montjoly,4.9167,-52.2667,25.02,94,56,0.0,GF,1691717995
shahr-e babak,30.1165,55.1186,21.11,21,0,4.13,IR,1691718023
drayton valley,53.2168,-114.9854,16.41,64,3,5.77,CA,1691718141
ciudad sabinas hidalgo,26.5,-100.1667,34.61,31,4,6.34,MX,1691718046
alofi,-19.0595,-169.9187,28.94,74,35,3.6,NU,1691717968
ancud,-41.8697,-73.8203,6.18,75,34,4.88,CL,1691718017
margate,51.3813,1.3862,18.72,78,38,0.89,GB,1691718033
nova xavantina,-14.6667,-52.35,26.2,37,2,1.07,BR,1691718142
sorong,-0.8833,131.25,28.3,64,19,4.37,ID,1691717975
pisco,-13.7,-76.2167,20.03,77,100,7.2,PE,1691718142
zhezqazghan,47.7833,67.7667,17.32,77,0,5.0,KZ,1691718142
sargur,11.9833,76.4167,22.08,86,99,1.6,IN,1691718143
dzuunmod,48.2199,97.3744,16.33,55,0,1.07,MN,1691718143
kismayo,-0.3582,42.5454,24.01,83,82,6.37,SO,1691717969
igarka,67.4667,86.5833,10.39,90,100,7.5,RU,1691718031
gonzaga,44.9498,10.8209,22.32,80,100,2.78,IT,1691718144
codrington,-38.2667,141.9667,13.47,71,100,6.17,AU,1691718144
kangding,30.0513,101.9603,21.24,73,100,1.48,CN,1691718144
aral,40.5156,81.2636,30.98,22,100,1.67,CN,1691718144
papao,-17.75,-149.55,26.82,70,100,9.05,PF,1691718145
choyr,46.3611,108.3611,20.54,65,2,5.27,MN,1691717990
porto novo,6.4965,2.6036,25.9,87,100,2.81,BJ,1691717979
bikenibeu village,1.3673,173.1241,29.98,79,40,2.57,KI,1691718145
persembe,41.0656,37.7714,24.68,88,97,1.1,TR,1691718145
aur,8.1499,171.1687,27.98,77,100,5.5,MH,1691718146
tambovka,50.0969,128.0489,25.42,53,0,4.47,RU,1691718146
chernomorskoye,45.5039,32.6997,23.43,79,100,5.5,UA,1691718146
basco,20.4487,121.9702,28.08,84,100,9.42,PH,1691718147
terenozek,45.05,64.9833,24.34,42,0,5.02,KZ,1691718147
nicoya,10.1483,-85.452,25.73,88,100,0.48,CR,1691718147
beichengqu,40.4394,113.1536,21.16,72,100,3.65,CN,1691718147
ko pha ngan,9.7578,100.0291,26.38,78,24,6.86,TH,1691718148
dos de mayo,-27.0228,-54.6867,17.53,95,47,1.29,AR,1691718148
kolokani,13.5728,-8.0339,23.19,91,100,2.51,ML,1691718148
taulaga,-11.0553,-171.0883,27.41,80,70,6.38,AS,1691718148
taichung,24.1469,120.6839,34.16,64,75,3.09,TW,1691718149
portel,-1.9356,-50.8211,24.93,82,11,2.12,BR,1691718149
kamin-kashyrskyi,51.6241,24.9586,14.81,89,99,1.07,UA,1691718149
balkanabat,39.5108,54.3671,32.92,24,0,2.41,TM,1691718150
santo antonio do ica,-3.1022,-67.9397,24.32,93,90,1.24,BR,1691718150
kenora,49.8167,-94.4337,16.54,72,75,3.09,CA,1691718150
karratha,-20.7377,116.8463,25.55,35,4,2.97,AU,1691718150
