City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tamanrasset,22.785,5.5228,24.95,12,0,2.57,DZ,1691718856
vilhena,-12.7406,-60.1458,25.62,37,100,1.46,BR,1691718856
badger,64.8,-147.5333,20.93,71,20,1.54,US,1691718650
jamestown,42.097,-79.2353,19.77,88,100,4.63,US,1691718459
port alfred,-33.5906,26.891,19.14,48,0,4.33,ZA,1691718652
itaituba,-4.2761,-55.9836,24.82,72,5,1.14,BR,1691718857
tanjung pandan,-2.75,107.65,29.09,59,8,4.03,ID,1691718858
luorong,24.4058,109.6086,30.53,73,5,0.77,CN,1691718858
klyuchi,52.2667,79.1667,15.9,84,100,6.15,RU,1691718662
binghamton,42.0987,-75.918,19.45,93,20,2.57,US,1691718647
yellowknife,62.456,-114.3525,21.29,43,100,1.54,CA,1691718648
sola,-13.8833,167.55,22.91,67,49,12.03,VU,1691718859
brookings,44.3114,-96.7984,26.0,73,75,7.72,US,1691718737
harstad,68.799,16.5293,15.34,82,97,3.13,NO,1691718859
mount isa,-20.7333,139.5,25.87,25,4,3.6,AU,1691718682
nemuro,43.3236,145.575,21.08,92,100,6.54,JP,1691718660
roha,18.4333,73.1167,25.63,87,88,0.98,IN,1691718860
iqaluit,63.7506,-68.5145,4.85,93,75,3.6,CA,1691718645
hamilton,39.1834,-84.5333,23.57,81,20,2.57,US,1691718644
afif,23.9065,42.9172,26.73,14,19,2.27,SA,1691718861
moengo,5.6167,-54.4,23.63,96,16,1.1,SR,1691718861
hithadhoo,-0.6,73.0833,27.84,75,100,4.76,MV,1691718679
saint-junien,45.8833,0.9,18.32,99,61,0.93,FR,1691718861
taveta,-3.3963,37.6736,17.6,80,22,2.13,KE,1691718862
puerto lempira,15.2667,-83.7667,26.98,87,5,3.22,HN,1691718862
taksimo,56.3444,114.8794,16.32,98,100,0.54,RU,1691718862
remire-montjoly,4.9167,-52.2667,25.02,94,56,0.0,GF,1691718648
al hasakah,36.5024,40.7477,32.26,29,0,5.46,SY,1691718667
urcos,-13.6861,-71.6228,13.94,85,18,2.71,PE,1691718863
queenstown,-31.8976,26.8753,10.01,49,0,2.99,ZA,1691718687
sao joao da barra,-21.6403,-41.0511,22.4,86,0,8.21,BR,1691718623
midvagur,62.0511,-7.1939,12.46,94,20,4.63,FO,1691718864
usogorsk,63.4106,48.6872,16.3,75,0,1.83,RU,1691718864
sogndal,61.2283,7.1003,11.21,93,100,0.0,NO,1691718864
veraval,20.9,70.3667,26.64,84,100,6.13,IN,1691718864
la'ie,21.6477,-157.9253,30.98,67,14,6.54,US,1691718723
karratha,-20.7377,116.8463,25.55,35,4,2.97,AU,1691718865
hawaiian paradise park,19.5933,-154.9731,27.73,80,0,4.63,US,1691718658
vorgashor,67.5833,63.95,6.24,85,89,4.74,RU,1691718657
rongelap,11.1635,166.8941,28.29,74,100,5.97,MH,1691718677
tolanaro,-25.0319,46.9987,18.04,72,75,2.06,MG,1691718683
udachny,66.4167,112.4,20.28,62,99,4.46,RU,1691718661
kavieng,-2.5744,150.7967,27.85,75,97,6.64,PG,1691718866
ceelbuur,4.685,46.6176,22.34,83,7,7.61,SO,1691718866
upata,8.0086,-62.3989,24.0,80,7,2.54,VE,1691718867
west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1691718645
sisimiut,66.9395,-53.6735,7.95,88,100,4.61,GL,1691718867
bubaque,11.2833,-15.8333,26.57,83,84,5.97,GW,1691718683
kruisfontein,-34.0033,24.7314,19.38,33,0,5.86,ZA,1691718679
utrik,11.2278,169.8474,28.18,76,6,5.84,MH,1691718868
puerto ayora,-0.7393,-90.3518,24.75,93,36,2.24,EC,1691718652
yuzhno-kurilsk,44.0306,145.8556,22.45,86,100,4.88,RU,1691718677
sandnessjoen,66.0217,12.6316,10.29,88,62,3.96,NO,1691718688
ardatov,55.2421,43.097,17.36,82,3,2.18,RU,1691718868
fallon,39.4735,-118.7774,33.93,18,20,3.6,US,1691718869
dasoguz,41.8363,59.9666,20.97,56,0,3.09,TM,1691718602
kyren,51.6828,102.1408,19.45,76,6,0.31,RU,1691718654
tidjikja,18.5564,-11.4271,33.14,30,66,2.76,MR,1691718870
flin flon,54.7682,-101.865,12.63,92,100,3.39,CA,1691718870
vilyuchinsk,52.9306,158.4028,21.15,71,66,3.22,RU,1691718871
san antonio de pale,-1.4014,5.6325,23.33,87,99,4.72,GQ,1691718871
shingu,33.7333,135.9833,28.94,75,21,4.32,JP,1691718685
mugia,43.1041,-9.2179,19.95,93,24,3.59,ES,1691718871
polyarnyy,69.1989,33.4478,15.16,88,1,3.72,RU,1691718871
reggane,26.7158,0.1714,34.39,15,0,4.95,DZ,1691718872
ribeira grande,38.5167,-28.7,20.99,88,0,3.58,PT,1691718648
port macquarie,-31.4333,152.9167,19.94,42,0,3.55,AU,1691718674
champerico,14.3,-91.9167,28.73,79,100,3.03,GT,1691718872
prymors'k,46.7348,36.3443,22.62,80,96,3.23,UA,1691718873
qarauyl,48.9451,79.255,18.82,71,66,5.05,KZ,1691718873
nasiriyah,31.0521,46.261,36.68,14,0,1.87,IQ,1691718873
susuman,62.7833,148.1667,19.46,39,7,0.75,RU,1691718645
northam,51.0333,-4.2167,18.55,97,72,6.37,GB,1691718874
carutapera,-1.195,-46.02,24.42,90,11,2.15,BR,1691718874
kapuskasing,49.4169,-82.4331,16.05,88,75,3.6,CA,1691718874
brena alta,28.65,-17.7833,23.97,53,0,6.17,ES,1691718875
fortaleza,-3.7227,-38.5247,27.07,74,75,4.63,BR,1691718654
south hedland,-20.4089,118.5983,28.96,21,1,3.09,AU,1691718875
pirenopolis,-15.8525,-48.9592,24.27,44,0,2.42,BR,1691718875
ain oussera,35.4514,2.9058,27.69,29,0,1.34,DZ,1691718875
gorontalo,0.5412,123.0595,30.53,59,95,4.35,ID,1691718876
veghel,51.6,5.5333,17.17,89,20,2.06,NL,1691718876
lazaro cardenas,17.9583,-102.2,28.45,77,20,3.36,MX,1691718678
zaozhuang,34.8647,117.5542,28.88,67,71,2.44,CN,1691718876
alo,7.4178,6.7371,22.97,98,100,1.37,NG,1691718876
la aldea,20.9,-101.4833,18.99,77,81,2.69,MX,1691718877
georgetown,5.4112,100.3354,28.96,81,20,1.54,MY,1691718662
punta arenas,-53.15,-70.9167,1.62,81,12,4.93,CL,1691718492
puerto baquerizo moreno,-0.9,-89.6,23.85,83,64,6.23,EC,1691718877
torghay,49.6339,63.4981,19.45,56,27,7.73,KZ,1691718878
haiku-pauwela,20.9219,-156.3051,29.01,66,20,8.23,US,1691718878
zelenogorsk,56.1147,94.5861,20.88,57,100,2.06,RU,1691718878
nadi,-17.8,177.4167,22.0,83,100,3.09,FJ,1691718694
tsetserleg,47.475,101.4542,16.63,69,5,1.2,MN,1691718879
anadyr,64.75,177.4833,11.28,76,100,1.0,RU,1691718646
villa gesell,-37.2639,-56.973,12.81,93,100,4.5,AR,1691718873
takoradi,4.8845,-1.7554,23.14,91,10,2.29,GH,1691718879
carnarvon,-24.8667,113.6333,20.88,67,5,2.09,AU,1691718880
xai-xai,-25.0519,33.6442,15.66,73,0,1.43,MZ,1691718595
wailua homesteads,22.0669,-159.378,30.44,70,20,6.17,US,1691718646
muisne,0.6,-80.0333,25.36,84,98,3.9,EC,1691718880
atafu village,-8.5421,-172.5159,28.13,75,72,4.61,TK,1691718647
olonkinbyen,70.9221,-8.7187,6.36,99,98,2.97,SJ,1691718657
acarau,-2.8856,-40.12,25.37,86,12,6.54,BR,1691718583
igarka,67.4667,86.5833,10.39,90,100,7.5,RU,1691718649
zhezqazghan,47.7833,67.7667,17.32,77,29,6.0,KZ,1691718881
quelimane,-17.8786,36.8883,20.97,82,40,1.54,MZ,1691718881
ironwood,46.4547,-90.171,16.19,63,0,0.0,US,1691718882
altai,46.3722,96.2583,18.27,43,0,1.83,MN,1691718882
mogocha,53.7333,119.7667,15.02,98,100,0.83,RU,1691718882
minas de marcona,-15.2119,-75.1103,12.36,89,88,6.41,PE,1691718882
turpan,42.9333,89.1667,37.15,17,0,2.97,CN,1691718883
estevan,49.1334,-102.9842,17.11,82,100,11.32,CA,1691718883
codrington,-38.2667,141.9667,13.47,71,100,6.17,AU,1691718883
argo,37.6333,22.7333,23.21,74,46,1.9,GR,1691718883
port hedland,-20.3167,118.5667,29.03,21,1,3.09,AU,1691718884
antsiranana,-12.2787,49.2917,21.2,84,2,4.62,MG,1691718884
antsohihy,-14.8796,47.9875,19.86,86,45,1.23,MG,1691718884
porto novo,6.4965,2.6036,25.9,87,100,2.81,BJ,1691718659
solleftea,63.1667,17.2667,12.92,97,100,3.35,SE,1691718884
longyearbyen,78.2186,15.6401,8.91,87,100,1.54,SJ,1691718654
kapa'a,22.0752,-159.319,31.18,70,20,6.17,US,1691718885
amasra,41.7463,32.3863,20.9,93,85,2.68,TR,1691718886
vanimo,-2.6741,141.3028,29.62,69,96,3.67,PG,1691718886
petropavlovsk-kamchatsky,53.0452,158.6483,20.33,49,20,2.0,RU,1691718653
horad zhodzina,54.0983,28.3325,12.15,83,100,0.64,BY,1691718886
cambria,35.5641,-121.0808,22.41,88,65,1.04,US,1691718887
actopan,20.2667,-98.9333,17.67,82,95,2.38,MX,1691718679
stanley,54.868,-1.6985,19.29,87,0,1.54,GB,1691718445
curillo,1.0333,-75.9191,24.1,89,93,1.03,CO,1691718685
assab,13.0092,42.7394,31.87,67,16,2.69,ER,1691718888
marabba,12.35,32.1833,25.4,70,100,2.5,SD,1691718888
sodankyla,67.4167,26.6,11.66,95,27,2.18,FI,1691718888
kapit,2.0167,112.9333,28.08,77,96,0.46,MY,1691718888
charters towers,-20.1,146.2667,24.26,34,4,5.15,AU,1691718889
cannonvale,-20.2833,148.7,21.66,53,2,5.25,AU,1691718889
illizi,26.4833,8.4667,25.89,16,0,1.68,DZ,1691718889
maun,-19.9833,23.4167,12.98,62,0,2.57,BW,1691718889
fale old settlement,-9.3852,-171.2468,27.97,77,92,5.47,TK,1691718890
hami,42.8,93.45,32.37,16,0,2.99,CN,1691718890
sundargarh,22.1167,84.0333,27.39,70,99,1.68,IN,1691718890
dangriga,16.9692,-88.2321,28.43,81,1,3.96,BZ,1691718890
ulladulla,-35.35,150.4667,16.59,40,15,2.68,AU,1691718891
callao,-12.0667,-77.15,21.16,73,100,4.63,PE,1691718646
pomichna,48.2422,31.4158,15.88,88,93,4.47,UA,1691718891
leticia,-4.2153,-69.9406,27.03,89,40,4.12,CO,1691718657
happy valley-goose bay,53.3168,-60.3315,15.17,67,75,3.6,CA,1691718891
chonchi,-42.6128,-73.8092,4.56,93,32,1.99,CL,1691718651
tyukhtet,56.5389,89.3011,16.31,85,100,1.93,RU,1691718892
hermoso campo,-27.6082,-61.3444,21.17,85,0,2.38,AR,1691718892
lompoc,34.6391,-120.4579,24.45,86,100,2.57,US,1691718685
puerto madero,14.7208,-92.4215,28.98,75,100,3.41,MX,1691718892
selfoss,63.9331,-20.9971,13.36,86,60,4.18,IS,1691718676
bratsk,56.1325,101.6142,19.27,66,0,1.42,RU,1691718893
kirklareli,41.7351,27.2252,18.7,70,99,5.91,TR,1691718893
arraial do cabo,-22.9661,-42.0278,21.24,89,12,10.21,BR,1691718687
bonthe,7.5264,-12.505,24.96,82,100,5.01,SL,1691718694
ust-nera,64.5667,143.2,23.65,35,59,0.56,RU,1691718651
egilsstadir,65.2653,-14.3948,6.95,93,75,3.09,IS,1691718894
danghara,38.0958,69.34,26.12,27,0,1.81,TJ,1691718894
mata-utu,-13.2816,-176.1745,28.05,75,100,4.87,WF,1691718894
hasaki,35.7333,140.8333,32.94,77,8,5.98,JP,1691718655
dudinka,69.4058,86.1778,8.68,41,91,12.5,RU,1691718895
primorskiy,43.0983,131.5875,20.81,97,100,4.26,RU,1691718895
mahibadhoo,3.7833,72.9667,28.18,75,95,6.61,MV,1691718895
wlodawa,51.55,23.55,12.47,83,26,1.15,PL,1691718896
visakhapatnam,17.69,83.2093,29.74,63,98,1.05,IN,1691718896
barcelos,41.5388,-8.6151,19.4,88,0,1.14,PT,1691718896
lubuklinggau,-3.3,102.8667,27.77,65,82,0.82,ID,1691718896
darab,28.7519,54.5444,26.99,18,6,4.06,IR,1691718896
saint-jean-de-monts,46.7833,-2.0667,19.04,94,100,3.72,FR,1691718897
taco pozo,-25.6167,-63.2833,22.08,48,90,1.0,AR,1691718897
ishigaki,24.3448,124.1572,31.07,84,75,2.57,JP,1691718897
cuencame de ceniceros,24.8711,-103.6964,25.19,42,100,5.01,MX,1691718897
puerto deseado,-47.7503,-65.8938,5.51,87,54,12.08,AR,1691718898
port lincoln,-34.7333,135.8667,13.31,62,99,2.28,AU,1691718648
nyurba,63.2842,118.3319,23.57,52,97,5.0,RU,1691718898
novoderevyankovskaya,46.3231,38.7472,22.45,75,29,2.62,RU,1691718898
crane,31.3974,-102.3501,36.52,19,44,3.25,US,1691718674
awjilah,29.1081,21.2869,25.46,52,0,6.24,LY,1691718696
fiche,9.8,38.7333,9.9,81,99,0.49,ET,1691718899
touros,-5.1989,-35.4608,24.25,82,12,6.19,BR,1691718514
uturoa,-16.7333,-151.4333,24.98,70,99,8.78,PF,1691718644
paramaribo,5.8667,-55.1667,27.17,85,38,0.45,SR,1691718899
aasiaat,68.7098,-52.8699,3.68,88,100,0.77,GL,1691718651
cidreira,-30.1811,-50.2056,17.63,96,95,6.83,BR,1691718900
peniche,39.3558,-9.3811,19.6,94,0,4.37,PT,1691718900
sabha,27.0377,14.4283,25.72,32,0,4.6,LY,1691718900
saipan,15.1355,145.701,27.39,100,100,6.26,MP,1691718645
dhidhdhoo,6.8833,73.1,28.08,76,85,6.67,MV,1691718901
elamanchili,17.55,82.8667,29.5,65,92,1.13,IN,1691718901
mersa matruh,31.3525,27.2453,26.11,65,0,2.57,EG,1691718901
nishinoomote,30.7333,131.0,28.31,94,40,2.06,JP,1691718902
botosani,47.75,26.6667,17.71,91,38,2.55,RO,1691718514
vera,-29.4593,-60.2126,19.22,78,0,2.99,AR,1691718902
salinas,36.6777,-121.6555,23.45,81,75,5.14,US,1691718902
vysokiy,58.35,60.05,12.06,80,1,2.13,RU,1691718903
san luis de la loma,17.2706,-100.8939,27.67,83,30,2.04,MX,1691718903
griffith,41.5284,-87.4237,25.59,78,0,3.6,US,1691718903
baoshan,46.5586,131.4244,21.21,93,100,4.44,CN,1691718904
deschutes river woods,43.9915,-121.3584,27.45,21,0,6.69,US,1691718904
lesogorsk,56.0458,99.5136,21.57,57,8,1.96,RU,1691718905
new norfolk,-42.7826,147.0587,12.72,73,100,2.8,AU,1691718667
luganville,-15.5333,167.1667,23.15,58,15,7.11,VU,1691718905
malangali,-8.5667,34.85,13.66,64,3,4.14,TZ,1691718905
bukama,-9.2,25.85,20.12,38,0,1.09,CD,1691718906
banfora,10.6333,-4.7667,22.33,98,100,1.86,BF,1691718906
lebu,-37.6167,-73.65,8.85,75,100,3.85,CL,1691718389
jericho,31.8667,35.45,26.48,77,3,1.61,PS,1691718907
wuwei,37.9281,102.6414,20.1,76,100,1.76,CN,1691718907
luderitz,-26.6481,15.1594,17.08,65,60,1.29,NA,1691718907
keflavik,64.0049,-22.5624,13.95,82,0,5.14,IS,1691718648
nahiyat ash shinafiyah,31.5874,44.6602,36.38,15,6,4.39,IQ,1691718908
kuldiga,56.974,21.9572,11.83,94,96,2.81,LV,1691718908
east london,-33.0153,27.9116,18.22,53,0,4.36,ZA,1691718651
oranjemund,-28.55,16.4333,17.27,61,49,1.14,NA,1691718908
kochani,41.9164,22.4128,14.31,89,1,1.7,MK,1691718909
axim,4.8699,-2.2405,23.61,88,36,2.35,GH,1691718909
espanola,35.9911,-106.0806,29.98,31,100,5.25,US,1691718909
americus,32.0724,-84.2327,25.77,100,0,0.0,US,1691718909
kasungu,-13.0333,33.4833,12.78,78,0,1.9,MW,1691718910
nalgonda,17.05,79.2667,28.23,64,72,1.35,IN,1691718910
kralendijk,12.15,-68.2667,28.99,84,0,6.69,BQ,1691718910
sirsa,29.5333,75.0167,32.08,51,31,5.93,IN,1691718910
neftcala,39.3742,49.2472,26.95,66,0,2.11,AZ,1691718911
tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1691718653
purranque,-40.9167,-73.1667,4.63,97,24,1.43,CL,1691718910
oxapampa,-10.5775,-75.4017,15.69,93,71,1.3,PE,1691718911
istgah-e rah ahan-e garmsar,35.2346,52.3094,27.79,25,0,2.27,IR,1691718912
ratne,51.6683,24.5303,14.89,88,100,1.27,UA,1691718913
baiao,-2.7906,-49.6717,23.96,80,1,1.21,BR,1691718913
salalah,17.0151,54.0924,26.05,100,100,2.57,OM,1691718914
puerto ayacucho,5.6639,-67.6236,25.18,90,100,1.69,VE,1691718914
nogliki,51.8333,143.1667,14.94,80,98,5.87,RU,1691718914
gadzhiyevo,69.2551,33.3362,15.09,88,1,3.94,RU,1691718654
guarapari,-20.6667,-40.4975,20.59,91,0,4.08,BR,1691718915
selebi-phikwe,-21.979,27.8498,12.39,72,91,1.55,BW,1691718915
karungdong,5.8844,121.263,28.7,72,100,3.55,PH,1691718915
sorong,-0.8833,131.25,28.3,64,19,4.37,ID,1691718915
swift current,50.2834,-107.8014,20.45,56,0,5.14,CA,1691718839
newman,37.3138,-121.0208,32.99,51,94,0.89,US,1691718916
colonia,50.9333,6.95,17.14,81,0,2.06,DE,1691718916
tegueste,28.5167,-16.3167,27.82,87,27,5.66,ES,1691718916
san agustin de valle fertil,-30.6335,-67.4682,13.37,40,27,1.38,AR,1691718917
coahuayana de hidalgo,18.7,-103.6583,27.64,82,92,1.22,MX,1691718677
kabul,34.5,69.4167,22.01,31,0,1.55,AF,1691718917
nasir,15.5894,32.5634,27.43,61,100,5.09,SD,1691718917
malango,-2.9627,119.9001,23.78,78,100,1.04,ID,1691718917
newcastle west,52.4492,-9.0611,15.25,96,5,2.89,IE,1691718918
zebbug,35.8719,14.4411,21.88,88,0,0.51,MT,1691718918
dobrota,42.4542,18.7683,23.84,68,0,3.09,ME,1691718918
diamantino,-14.4086,-56.4461,25.38,36,24,2.17,BR,1691718918
baardheere,2.3446,42.2764,22.6,82,45,6.04,SO,1691718919
gazojak,41.1875,61.4036,24.48,38,0,3.87,TM,1691718919
laguna,38.421,-121.4238,34.06,39,0,5.14,US,1691718919
kem',64.9555,34.5793,14.41,83,8,0.94,RU,1691718919
tsiombe,-25.3,45.4833,18.22,50,80,4.69,MG,1691718653
johnstown,40.3267,-78.922,21.19,93,20,3.6,US,1691718908
grand falls-windsor,48.9332,-55.6649,15.28,95,100,1.09,CA,1691718920
kurchatov,51.6601,35.6521,18.23,96,100,4.3,RU,1691718920
ra-ngae,6.2968,101.7284,26.93,74,23,0.98,TH,1691718920
gaiman,-43.2897,-65.4929,13.1,39,2,14.07,AR,1691718921
javea,38.7833,0.1667,27.53,89,1,3.58,ES,1691718921
alice springs,-23.7,133.8833,23.75,20,0,3.6,AU,1691718651
grevenbroich,51.091,6.5827,17.16,85,3,0.51,DE,1691718900
fort-shevchenko,44.5086,50.263,27.1,52,4,5.88,KZ,1691718922
qarqaraly,49.4058,75.4742,15.1,83,76,4.23,KZ,1691718690
trincomalee,8.5711,81.2335,27.24,73,100,4.8,LK,1691718922
vallo della lucania,40.2297,15.2658,18.08,75,11,1.36,IT,1691718922
sao vicente,-23.9631,-46.3919,25.15,26,19,1.75,BR,1691718922
chibougamau,49.9168,-74.3659,16.79,77,75,2.06,CA,1691718923
kismayo,-0.3582,42.5454,24.01,83,82,6.37,SO,1691718661
saldanha,-33.0117,17.9442,9.03,54,5,5.36,ZA,1691718923
williams lake,52.1415,-122.1445,23.92,38,75,3.09,CA,1691718653
hotan,37.0997,79.9269,30.71,17,97,2.25,CN,1691718924
stephenville,32.2207,-98.2023,38.07,28,0,3.6,US,1691718924
port hope,43.9408,-82.7127,21.04,73,4,5.66,US,1691718631
la passe,45.5549,-0.8967,19.43,92,71,2.48,FR,1691718654
sur,22.5667,59.5289,29.3,63,98,3.0,OM,1691718676
marietta,33.9526,-84.5499,26.92,85,40,3.09,US,1691718630
mahdia,35.5047,11.0622,23.97,70,0,1.47,TN,1691718925
angleton,29.1694,-95.4319,31.7,70,0,6.69,US,1691718925
ola,59.5833,151.2833,21.75,68,0,2.31,RU,1691718925
ina,35.8276,137.9538,30.81,49,0,1.69,JP,1691718925
uvinza,-5.1036,30.3911,19.83,58,11,0.16,TZ,1691718926
slave lake,55.2834,-114.769,14.99,94,100,8.23,CA,1691718926
constantia,44.1833,28.65,20.39,63,97,6.76,RO,1691718673
sitka,57.0531,-135.33,15.94,82,100,3.6,US,1691718644
mhamid,29.82,-5.72,33.36,13,8,2.46,MA,1691718927
cururupu,-1.8283,-44.8683,23.57,91,4,1.54,BR,1691718600
shimoda,34.6667,138.95,30.2,68,1,7.22,JP,1691718650
namibe,-15.1961,12.1522,15.79,83,7,4.98,AO,1691718656
zyryanskoye,56.8306,86.6258,12.94,93,100,1.93,RU,1691718928
gangtok,27.3333,88.6167,20.1,95,100,0.52,IN,1691718928
yalutorovsk,56.6536,66.3006,13.95,70,67,5.2,RU,1691718928
okha,53.5739,142.9478,15.89,76,8,6.09,RU,1691718928
nova olinda do norte,-3.8881,-59.0942,24.79,72,3,0.29,BR,1691718928
taunggyi,20.7833,97.0333,19.04,88,100,2.1,MM,1691718929
nago,26.5881,127.9761,31.24,72,100,0.81,JP,1691718929
gembu,6.7,11.2667,16.36,95,100,0.88,NG,1691718929
phu khuong,11.2833,106.1333,30.73,61,9,4.9,VN,1691718929
fayroz koh,34.5195,65.2509,14.68,48,0,0.88,AF,1691718930
nadym,65.5333,72.5167,6.52,65,0,10.98,RU,1691718930
richards bay,-28.783,32.0377,14.78,85,1,3.46,ZA,1691718930
patterson,37.4716,-121.1297,32.97,51,99,2.31,US,1691718656
tucumcari,35.1717,-103.725,34.91,16,0,3.6,US,1691718928
nantucket,41.2835,-70.0995,23.33,75,40,5.66,US,1691718388
wawa,9.9022,4.4192,22.39,95,99,1.75,NG,1691718931
steinkjer,64.193,11.3851,9.52,98,100,1.11,NO,1691718931
playas,-2.6333,-80.3833,23.69,83,37,4.91,EC,1691718932
hola,51.5377,23.1902,12.1,77,16,0.97,PL,1691718932
winnemucca,40.973,-117.7357,33.03,9,0,1.54,US,1691718932
zaragoza,41.6561,-0.8773,24.45,50,0,8.23,ES,1691718932
nizhneudinsk,54.9076,99.0276,20.91,59,4,2.49,RU,1691718933
nizao,18.25,-70.2,28.04,83,100,3.43,DO,1691718933
topeka,39.0483,-95.678,29.79,69,0,3.6,US,1691718933
madang,-5.2246,145.7966,28.59,71,99,2.66,PG,1691718933
christchurch,-43.5333,172.6333,10.53,66,68,3.6,NZ,1691718817
